id,collection,bookNumber,bookName,chapterId,hadithNumber,text,gradedBy,grade
muslim1,muslim,introduction,Muslim,2,1,"Abū Bakr ibn Abī Shaybah narrated to us that Ghundar narrated to us, on authority of Shu’bah; and Muhammad bin ul-Muthannā and Ibn Bashār both narrated to us, they said: Muhammad bin Ja’far narrated to us, Shu’bah narrated to us, on authority of Mansūr, on authority of Rab’iy ibn Hirāsh, that he heard Alī, may Allah be pleased with him, giving a Khutbah and he said that the Messenger of Allah, peace and blessings of Allah upon him, said: ‘Do not lie upon me; indeed whoever lies upon me will enter the Fire’.",,Sahih
muslim2,muslim,introduction,Muslim,2,2,"Zuhayr bin Harb narrated to me, Ismā’īl, rather, Ibn Ulayyah narrated to us, on authority of Abd il-Azīz ibn Suhayb, on authority of Anas bin Mālik, that he said: ‘Indeed what prevents me from relating to you a great number of Ḥadīth is that the Messenger of Allah, peace and blessings of Allah upon him, said: ‘Whoever intends to lie upon me, then let him take his seat in the Fire.’",,Sahih
muslim3,muslim,introduction,Muslim,2,3,"Muhammad bin Ubayd il-Ghubarī narrated to us, Abū Awānah narrated to us, on authority of Abī Hasīn, on authority of Abī Sālih, on authority of Abū Hurayrah, he said, the Messenger of Allah, peace and blessings of Allah upon him, said: ‘Whoever lies upon me intentionally, then let him take his seat in the Fire’.",,Sahih
muslim4a,muslim,introduction,Muslim,2,4a,"Muhammad bin Abd Allah ibn Numayr narrated to us, my father narrated to us, Sa’īd bin Ubayd narrated to us, Alī bin Rabī’ah narrated to us, he said: ‘I arrived at the Masjid and al-Mughīrah, the Amīr of al-Kūfah said: ‘I heard the Messenger of Allah, peace and blessings of Allah upon him, saying, ‘Indeed a lie upon me is not like a lie upon anyone else, for whoever lies upon me intentionally, then he shall take his seat in the Fire’.’",,Sahih
muslim4b,muslim,introduction,Muslim,2,4b,"’ Alī bin Hujr as-Sa’dī narrated to us, Alī bin Mushir narrated to us, Muhammad bin Qays il-Asadī informed us, on authority of Alī ibn Rabī’at al-Asadī, on authority of al-Mughīrat ibn Shu’bah, on authority of the Prophet, peace and blessings of Allah upon him a similar narration, however he did not mention the words ‘Indeed a lie upon me is not like a lie upon anyone else’.",,Sahih
muslim5,muslim,introduction,Muslim,3,5,"Ubayd Allah bin Mu’ādh al-Anbarī narrated to us, my father narrated to us; and Muhammad bin ul-Muthannā narrated to us, Abd ur-Rahman bin Mahdī both narrated to us: Shu’bah narrated to us, on authority of Khubayb bin Abd ir-Rahman, on authority of Hafs bin Āsim, on authority of Abī Hurayrah, he said, the Messenger of Allah, peace and blessings of Allah upon him, said: ‘It is enough of a lie for a man to narrate everything he hears’.",,Sahih
muslimintro8,muslim,introduction,Muslim,3,Introduction 8,"Abū Bakr bin Abī Shaybah narrated to us, Alī bin Hafs narrated to us, Shu’bah narrated to us, on authority of Khubayb bin Abd ir-Rahman, on authority of Hafs bin Āsim, on authority of Abī Hurayrah, on authority of the Prophet, peace and blessings of Allah upon him, the same as that.",,Sahih
muslimintro9,muslim,introduction,Muslim,3,Introduction 9,"Yahyā bin Yahyā narrated to us, Hushaym informed us, on authority of Sulaymān at-Taymī, on authority of Abī Uthmān an-Nahdī, he said, Umar bin ul-Khattāb, may Allah be pleased with him, said: ‘It is enough of a lie for a man that he narrates everything he hears’.",,Sahih
muslimintro10,muslim,introduction,Muslim,3,Introduction 10,"Abūt-Tāhir Ahmad bin Amr bin Sarh narrated to me, he said, Ibn Wahb narrated to us, he said, Mālik said to me: ‘Know that a man who relates everything he hears is not safe, and he can never be an Imām, as long as he narrates everything he hears’.",,Sahih
muslimintro11,muslim,introduction,Muslim,3,Introduction 11,"Muhammad bin ul-Muthannā narrated to us, he said Abd ur-Rahman narrated to us, he said Sufyān narrated to us, on authority of Abī Ishāq, on authority of Abīl-Ahwas, on authority of Abd Illah, he said: ‘It is enough of a lie for a man that he narrates everything he hears’.",,Sahih
muslimintro12,muslim,introduction,Muslim,3,Introduction 12,"Muhammad bin ul-Muthannā narrated to us, he said I heard Abd ar-Rahman bin Mahdī saying: ‘A man cannot be an Imām whose example is followed until he withholds from some of what he hears’.",,Sahih
muslimintro13,muslim,introduction,Muslim,3,Introduction 13,"Yahyā bin Yahyā narrated to us, Umar bin Alī bin Muqaddam informed us, on authority of Sufyān bin Husayn, he said: ‘Iyās bin Mu’āwiyah asked me saying: ‘Indeed I see that you love knowledge of the Qur’ān, so recite for me a Sūrah and explain it until I can reflect on what you know’. [Sufyān] said, so I did that, and [Iyās] said to me: ‘Memorize from me what I am about to say to you- Beware of abominations in Ḥadīth for indeed rarely does anyone convey them except he lowers himself and his Ḥadīth are denied’.’",,Sahih
muslimintro14,muslim,introduction,Muslim,3,Introduction 14,"Abūt-Tāhir and Harmalah bin Yahyā narrated to me, they said Ibn Wahb narrated to us, he said Yūnus informed me, on authority of Ibn Shihāb, on authority of Ubayd Allah bin Abd Allah bin Utbah, that Abd Allah bin Mas’ūd said: ‘It is the case that you do not relate to the people a narration which their minds cannot grasp except that it becomes a Fitnah for some of them’.",,Sahih
muslim6,muslim,introduction,Muslim,4,6,"Muhammad bin Abd Allah bin Numayr and Zuhayr bin Harb narrated to me, they said Abd Allah bin Yazīd narrated to us, he said Sa’īd bin Abī Ayyūb narrated to me, he said Abū Hāni’ narrated to me, on authority of Uthmān Muslim bin Yasār, on authority of Abī Hurayrah, on authority of the Messenger of Allah, peace and blessings of Allah upon him, he said: ‘There will be in the last of my nation a people narrating to you what you nor your fathers heard, so beware of them’.",,Sahih
muslim7,muslim,introduction,Muslim,4,7,"Harmalah bin Yahyā bin Abd Allah bin Harmalah bin Imrān at-Tujībī narrated to me, he said Ibn Wahb narrated to us, he said Abū Shurayh narrated to me that he heard Sharāhīl bin Yazīd saying ‘Muslim bin Yasār informed me that he heard Abā Hurayrah saying, the Messenger of Allah, peace and blessings of Allah upon him, said: ‘There will be in the end of time charlatan liars coming to you with narrations that you nor your fathers heard, so beware of them lest they misguide you and cause you tribulations’.’",,Sahih
muslimintro17,muslim,introduction,Muslim,4,Introduction 17,"Abū Sa’īd al-Ashajj narrated to me, Wakī’ narrated to us, al-A’mash narrated to us, on authority of al-Musayyab bin Rāfi’, on authority of Āmir bin Abdah, he said, Abd Allah [bin Mas’ūd] said: ‘Indeed Satan will appear in the form of a man and he will come to the people, narrating to them false Ḥadīth, and they will then depart. Then a man among them will say: ‘I heard a man whose face I recognize but I do not know his name narrating [such and such]…’",,Sahih
muslimintro18,muslim,introduction,Muslim,4,Introduction 18,"Muhammad bin Rāfi’ narrated to me, Abd ur-Razzāq narrated to us, Ma’mar informed us, on authority of Ibn Tāwus, on authority of his father, on authority Abd Allah bin Amr bin al-Ās, he said: ‘Indeed in the sea are devils chained up, whom Sulaymān shackled and they are at the point of emerging. Then they will recite a Qur’ān upon the people.’",,Sahih
muslimintro19,muslim,introduction,Muslim,4,Introduction 19,"Muhammad bin Abbād and Sa’īd bin Amr al-Ash’athī narrated to me on authority of Ibn Uyaynah; Sa’īd said Sufyān informed us on authority of Hishām bin Hujayr, on authority of Tāwus, he said (Bushayr bin Ka’b) came to Ibn Abbās so he set about narrating to him. Ibn Abbās said to him: ‘Go back to such-and-such narration‘. Then [Bushayr] returned to it and narrated it. So [Ibn Abbās] said to him: ‘Go back to such-and-such narration’. Then [Bushayr] returned to it and narrated it. Thus [Bushayr] said to him: ‘I do not know whether you know all of my Ḥadīth and you reject this one and that, or if you reject all of my Ḥadīth and know this one and that?’ Ibn Abbās said to him: ‘Indeed we would be narrated to on authority of the Messenger of Allah, peace and blessings of Allah upon him, at a time when one would not lie upon him, however when the people took the difficult [Munkar] and the docile [Sahīh], we abandoned listening to Ḥadīth from them’.",,Sahih
muslimintro20,muslim,introduction,Muslim,4,Introduction 20,"Muhammad bin Rāfi’ narrated to me, Abd ur-Razzāq narrated to us, Ma’mar informed us, on authority of Ibn Tāwus, on authority of his father, on authority of Ibn Abbās, he said: ‘Indeed we would take Ḥadīth and they would be taken on authority of the Messenger of Allah, peace and blessings of Allah upon him. However if you take every difficult and docile [narration] then how far that is [from being upright]!",,Sahih
muslimintro21,muslim,introduction,Muslim,4,Introduction 21,"Abū Ayyūb Sulaymān bin Ubayd Allah al-Ghaylānī narrated to us, Abū Āmir, meaning al-Aqadī, narrated to us, Rabāh narrated to us, on authority of Qays bin Sa’d, on authority of Mujāhid, he said Bushayr ul-Adawī came to Ibn Abbās then he set about narrating to him, saying: ‘The Messenger of Allah, peace and blessings of Allah upon him, said…’, ‘the Messenger of Allah, peace and blessings of Allah upon him, said…’. Then it seemed that Ibn Abbās was not listening to his Ḥadīth and not reflecting on them, so [Bushayr] said: ‘Oh Ibn Abbās, why is it that I see you not listening to my Ḥadīth? I narrate to you on authority of the Messenger of Allah, peace and blessings of Allah upon him, however you are not listening’. Ibn Abbās said: ‘Indeed once upon a time we would listen to a man saying, ‘the Messenger of Allah, peace and blessings of Allah upon him, said…’ rushing towards him with our eyes and harkening towards him with our ears; then when the people took the difficult and the docile we no longer took from people except those whom we knew’.",,Sahih
muslimintro22,muslim,introduction,Muslim,4,Introduction 22,"Dāwud bin Amr aḍ-Ḍabbī narrated to us, Nāfi’ bin Umar narrated to us, on authority of Ibn Abī Mulaykah, he said: ‘I wrote to Ibn Abbās asking him to write something [pertaining to knowledge] for me and he withheld from me quite a bit, and said: ‘As [if he were] a sincere child, I will write for him something especially suited to his status withholding from him what would not benefit him’. [Ibn Abī Mulaykah] said: ‘So [Ibn Abbās] called for the judgment of Alī [bin Abī Tālib which was a book with which Alī would pass verdicts in Kuffah], and he began to write from it [with respect to the request of Ibn Abī Mulaykah] and he came upon something [not appropriate to the station of Alī regarding the science of verdicts]. So [Ibn Abbās] said: ‘By Allah, Alī did not give judgment according to this unless he was astray’.’",,Sahih
muslimintro23,muslim,introduction,Muslim,4,Introduction 23,"Amr an-Nāqid narrated to us, Sufyān bin Uyaynah narrated to us, on authority of Hishām bin Hujayr, on authority of Tāwus, he said: ‘A book was brought to Ibn Abbās which contained the verdicts of Alī, may Allah be pleased with him, and he effaced but a small amount,’ and Sufyān bin Uyaynah indicated with his arm [the amount].",,Sahih
muslimintro24,muslim,introduction,Muslim,4,Introduction 24,"Hasan bin Alī al-Hulwānī narrated to us, Yahyā bin Ādam narrated to us, Ibn Idrīs narrated to us, on authority of al-A’mash, on authority of Abī Ishāq who said: ‘When they narrated these things after Alī, may Allah be pleased with him, a man from the companions of Alī said: ‘May Allah curse them. Did they corrupt every [type of] knowledge!?’",,Sahih
muslimintro25,muslim,introduction,Muslim,4,Introduction 25,"Alī bin Khashram narrated to us, Abū Bakr, meaning Ibn Ayyāsh, informed us, he said ‘I heard al-Mughīrah saying: ‘There are no Ḥadīth on authority of Alī, may Allah be pleased with him, that are confirmed except from the companions of Abd Allah bin Mas’ūd.’",,Sahih
muslimintro26,muslim,introduction,Muslim,5,Introduction 26,"Hasan bin ur-Rabī’ narrated to us, Hammād bin Zayd narrated to us, on authority of Ayyūb and Hishām [bin Hassān], on authority of Muhammad [bin Sīrīn] ; and Fuḍayl [bin Īyāḍ] narrated to us on authority of Hishām [bin Hassān]; he said Mukhlad bin Husayn narrated to us, on authority of Hishām [bin Hassān], on authority of Muhammad bin Sīrīn , that he said: ‘Indeed this knowledge is faith, so carefully consider from whom you take your faith’.",,Sahih
muslimintro27,muslim,introduction,Muslim,5,Introduction 27,"Abū Ja’far Muhammad bin us-Sabbāh narrated to us, Ismā’īl bin Zakariyyā’ narrated to us, on authority of Āsim il-Ahwal, on authority of Ibn Sīrīn that he said: ‘They would not ask about the chains of narration, and when the Fitnah occurred, they said: ‘Name for us your men’. So Ahl us-Sunnah would be regarded, and their Ḥadīth were then taken, and Ahl ul-Bi’dah would be regarded, and their Ḥadīth were not taken’.",,Sahih
muslimintro28,muslim,introduction,Muslim,5,Introduction 28,"Ishāq bin Ibrāhīm al-Hanthalī narrated to us, Īsā, and he is Ibn Yūnus, informed us, al-Awzā’ī narrated to us, on authority of Sulyamān bin Mūsā, he said: ‘I came across Tāwus and said: ‘So-and-so narrated to me such-and-such’. Then he said: ‘If your companion is trustworthy, then take from him.’",,Sahih
muslimintro29,muslim,introduction,Muslim,5,Introduction 29,"Abd Allah bin Abd ir-Rahman ad-Dārimī narrated to us, Marwān, meaning Ibn Muhammad ad-Dimashqī informed us, Sa’īd bin Abd il-Azīz narrated to us, on authority of Sulaymān bin Mūsā, he said, I said to Tāwus: ‘So-and-so narrated to me like this-and-that’. He said: ‘If your companion is trustworthy, then take from him.’",,Sahih
muslimintro30,muslim,introduction,Muslim,5,Introduction 30,"Nasr bin Alī al-Jahdhamī narrated to us, al-Asma’ī narrated to us, on authority of Ibn Abī-Zinād, on authority of his father, he said: ‘I met one hundred [transmitters] in al-Madīnah, each of whom were reliable. Narrations were not taken from one about who it was said, ‘he is not from its people’.’",,Sahih
muslimintro31,muslim,introduction,Muslim,5,Introduction 31,"Muhammad bin Abī Umar al-Makkī narrated to us, Sufyān narrated to us; and Abū Bakr bin Khallād al-Bāhilī narrated to us – and the wording is his, he said, I heard Sufyān bin Uyaynah, on authority of Mis’ar, he said, I heard Sa’d bin Ibrāhīm saying: ‘There is to be no narrating on authority of the Messenger of Allah, may Allah send blessings and peace upon him, except by trustworthy narrators (Thiqāt)’.",,Sahih
muslimintro32,muslim,introduction,Muslim,5,Introduction 32,"Muhammad bin Abd Allah bin Quhzādh from the people of Marw narrated to us, he said I heard Abdān bin Uthmān saying, I heard Abd Allah bin al-Mubārak saying: ‘The chain of narration is from the Dīn, and were it not for the chain of narration whoever wished could say what he wanted’.

Muhammad bin Abd Allah said, al-Abbās bin Abī Rizmah narrated to me, he said I heard Abd Allah [bin al-Mubārak] saying: ‘Between us and the people are ‘the legs’ (meaning the chain of narration, i.e. if a Ḥadīth was like a creature)’.

Muhammad said, I heard Abā Ishāq Ibrāhīm bin Īsā at-Tālqānī say, I said to Abd Allah bin al-Mubārak: ‘Oh Abā Abd ir-Rahman! How is the Ḥadīth which goes ‘Indeed from al-Birr after al-Birr is that you pray for your parents after you pray for yourself and you fast for them both after you fast for yourself’? So [Ibn al-Mubārak] said: ‘Oh Abā Ishāq! On whose authority is this?’ I said to him: ‘This is a Ḥadīth from Shihāb bin Khirāsh’. [Ibn al-Mubārak] said: ‘[He is] trustworthy. On whose authority [did he transmit]?’ I said: ‘on authority of al-Hajjāj bin Dīnār’. [Ibn al-Mubārak] said: ‘[He is] trustworthy. On whose authority [did he transmit]?’ I said: ‘He [al-Hajjāj said] the Messenger of Allah, peace and blessings of Allah upon him, said…’ [Ibn al-Mubārak] said: ‘Oh Abā Ishāq! Indeed between al-Hajjāj bin Dīnār and the Prophet, peace and blessings of Allah upon him, is a wilderness in which the necks of the mounts are severed, however, there is no difference of opinion regarding charity [offered on behalf of one’s parents]’.

Muhammad said, I heard Alī bin Shaqīq saying, I heard Abd Allah bin al-Mubārak saying in front of the people: ‘Abandon the Ḥadīth of Amr bin Thābit for indeed he would curse the Salaf [i.e., the Companions, may Allah be pleased with them]’.",,Sahih
muslimintro33,muslim,introduction,Muslim,5.1,Introduction 33,"Abū Bakr ibn in-Naḍr bin Abīn-Naḍr narrated to me, he said Abūn-Naḍr Hāshim bin ul-Qāsim narrated to me, Abū Aqīl, companion of Buhayyah, narrated to us, he said: ‘I was sitting near al-Qāsim bin Ubayd Allah and Yahyā bin Sa’īd [bin Qays al-Madanī al-Qāḍī], when Yahyā said to al-Qāsim: ‘Oh Abā Muhammad! Indeed it is gravely harmful for the likes of you to be asked about something from the affair of this Dīn, and then knowledge of it is not found with you, and no relief [in the form of an answer]’ -or- ‘…knowledge and no articulation’. So al-Qāsim said [to Yahyā bin Sa’īd]: ‘Where did that come from?’ [Yahyā] said: ‘It is because you are the son of two Imāms of guidance- a descendent of Abu Bakr and Umar.’ [al-Qāsim] said to him: ‘More harmful than that- according to whoever reflects about Allah- is to speak without knowledge or to take [Ḥadīth] from someone who is not trustworthy’. [Abū Aqīl] said: ‘So [Yahyā bin Sa’īd] was quiet and did not respond to him’.",,Sahih
muslimintro34,muslim,introduction,Muslim,5.1,Introduction 34,"Bishr bin ul-Hakam al-Abdī narrated to me, he said, I heard Sufyān bin Uyaynah saying, they informed me on authority of Abī Aqīl, companion of Buhayyah, that a descendent of Abd Allah bin Umar was asked about something that he did not have knowledge about, so Yahyā bin Sa’īd said to him: ‘By Allah, indeed it is a grave matter that the likes of you, a descendent of two Imāms of guidance – meaning Umar and Ibn Umar – is asked about a matter and you have no knowledge of it’. So [al-Qāsim] said: ‘By Allah, more grave than that according to Allah, and to whoever reflects about Allah, is to speak without knowledge or to report on authority of one who is not trustworthy’. [Ibn Uyaynah] said that Abū Aqīl Yahyā bin al-Mutawakkil witnessed them both when they said that.",,Sahih
muslimintro35,muslim,introduction,Muslim,5.1,Introduction 35,"Amr bin Alī Abū Hafs narrated to us, he said I heard Yahyā bin Sa’īd, he said: ‘I asked Sufyān ath-Thawrī , Shu’bah, Mālik, and Ibn Uyaynah about a man who is not reliable (Thabt) in Ḥadīth, and someone comes and asks me about him, and they said: ‘Inform [others] against him that he is not reliable’.’",,Sahih
muslimintro36,muslim,introduction,Muslim,5.1,Introduction 36,"Ubayd Allah bin Sa’īd narrated to us, he said, I heard an-Naḍr saying: ‘Ibn Awn was asked about the Ḥadīth of Shahr and he was standing at the threshold of the door, so [Ibn Awn] said: ‘Indeed they criticized Shahr, indeed they criticized Shahr’. Muslim, may Allah have mercy on him, said ‘He means- the tongues of men were busy criticizing him’.’",,Sahih
muslimintro37,muslim,introduction,Muslim,5.1,Introduction 37,"Hajjāj bin ush-Shā’ir narrated to me, Shabābah narrated to us, he said, Shu’bah said: ‘I had met Shahr then abandoned transmitting from him’.",,Sahih
muslimintro38,muslim,introduction,Muslim,5.1,Introduction 38,"Muhammad bin Abd Allah bin Quhzādh, from the people of Marw, narrated to me, he said Alī bin Husayn bin Wāqid informed me, he said Abd Allah bin al-Mubārak said, I said to Sufyān ath-Thawrī: ‘Indeed Abbād bin Kathīr, about whose condition you are aware, when he related [narrations] he introduced a grave matter- do you believe that it should be said to the people ‘Do not take from him?’ Sufyān said: ‘Indeed!’ Abd Allah [bin al-Mubārak] said: ‘So when I was in an assembly and Abbād was mentioned there, I praised him regarding his Dīn and said: ‘Do not take from him.’ 

Muhammad said, Abd Allah bin Uthmān narrated to us, he said, my father said, Abd Allah bin al-Mubārak said: ‘I ended up in an assembly of Shu’bah, and he said: ‘This is Abbād bin Kathīr so be warned against him.’",,Sahih
muslimintro39,muslim,introduction,Muslim,5.1,Introduction 39,"Al-Faḍl bin Sahl narrated to me, he said, I asked Mu’allā ar-Rāzī about Muhammad bin Sa’īd whom Abbād transmitted from, so he informed me about what Īsā bin Yūnus said: ‘I was at his door and Sufyān was with [Muhammad bin Sa’īd], then when he came out I asked [Sufyān] about him. So he informed me that he was a liar.’",,Sahih
muslimintro40,muslim,introduction,Muslim,5.1,Introduction 40,"Muhammad bin Abī Attāb narrated to me, he said Affān narrated to me, on authority of Muhammad bin Yahyā bin Sa’īd al-Qattān, on authority of his father, he said: ‘We do not see the righteous more false in anything than they are regarding Ḥadīth’. 

Ibn Abī Attāb said: ‘So Muhammad bin Yahyā bin Sa’īd al-Qattān and I met and I asked him about it and he said on authority of his father: ‘You will not see the people of good (Ahl ul-Khayr) more false in anything than they are regarding Ḥadīth.’ Muslim said: ‘He was saying that falsehood flows upon their tongues although they do not intend to lie’.",,Sahih
